,AP025654_1,AP026383_1,AP026903_1,AP028816_1,AP028853_1,CP016526_1,CP016764_1,CP020529_1,CP026242_1,CP026661_1,CP027678_1,CP028197_1,CP028975_1,CP029142_1,CP031372_2,CP034054_1,CP038659_1,CP042506_1,CP042616_1,CP043223_1,CP043927_1,CP044051_1,CP044215_1,CP044256_1,CP044299_1,CP044381_1,CP044386_1,CP047538_1,CP048303_1,CP049309_1,CP049311_1,CP050131_1,CP051332_1,CP051345_1,CP052236_1,CP056986_1,CP057282_1,CP057397_1,CP059429_1,CP059887_1,CP060660_1,CP061213_1,CP066116_1,CP069684_1,CP070406_1,CP070555_1,CP072939_1,CP073044_1,CP075027_1,CP078021_1,CP080514_1,CP080540_1,CP082469_1,CP082487_1,CP082572_1,CP082667_1,CP082685_1,CP082699_1,CP082712_1,CP085739_1,CP085766_1,CP086672_1,CP089393_1,CP090249_1,CP090263_1,CP090269_1,CP091551_1,CP098156_1,CP099404_1,CP100026_1,CP100708_1,CP101349_1,CP102375_1,CP103666_1,CP104922_1,CP109737_1,CP110904_1,CP113221_1,CP115835_1,CP119482_1,CP119496_1,CP122916_1,CP123651_1,CP123704_1,CP123925_1,CP128419_1,CP128691_1,CP128720_1,CP129631_1,CP136048_1,CP136723_1,LC735984_1,LC744504_1,MF344581_1,MZ382871_1,NC_002305_1,NC_016825_1,NZ_AP022541_1,NZ_AP023312_1,NZ_AP025928_1,NZ_AP026409_1,NZ_AP027418_1,NZ_CP004000_1,NZ_CP012141_1,NZ_CP012170_1,NZ_CP012931_1,NZ_CP015725_1,NZ_CP018652_1,NZ_CP018656_1,NZ_CP019019_1,NZ_CP019360_1,NZ_CP020848_1,NZ_CP020902_1,NZ_CP022165_1,NZ_CP025340_1,NZ_CP025402_1,NZ_CP026933_2,NZ_CP027112_1,NZ_CP027144_1,NZ_CP029037_1,NZ_CP029181_1,NZ_CP029248_1,NZ_CP029690_1,NZ_CP029729_1,NZ_CP029955_1,NZ_CP030080_1,NZ_CP030940_1,NZ_CP031102_1,NZ_CP031567_1,NZ_CP031575_1,NZ_CP032079_1,NZ_CP032842_1,NZ_CP033103_1,NZ_CP033385_2,NZ_CP034390_1,NZ_CP034832_1,NZ_CP037911_1,NZ_CP041182_1,NZ_CP042868_1,NZ_CP042895_1,NZ_CP043855_1,NZ_CP044958_1,NZ_CP047737_1,NZ_CP047741_1,NZ_CP049047_1,NZ_CP049189_1,NZ_CP049193_1,NZ_CP049968_1,NZ_CP050156_1,NZ_CP050754_1,NZ_CP050778_1,NZ_CP051311_1,NZ_CP051431_1,NZ_CP053569_1,NZ_CP054192_1,NZ_CP058672_1,NZ_CP060518_1,NZ_CP060586_1,NZ_CP061187_1,NZ_CP061746_1,NZ_CP061949_1,NZ_CP062278_1,NZ_CP062979_2,NZ_CP063225_1,NZ_CP063469_1,NZ_CP063474_1,NZ_CP063488_1,NZ_CP063512_1,NZ_CP064212_1,NZ_CP065940_1,NZ_CP066554_1,NZ_CP068288_1,NZ_CP068571_1,NZ_CP071010_1,NZ_CP071020_1,NZ_CP071694_1,NZ_CP071862_1,NZ_CP071877_1,NZ_CP072461_1,NZ_CP072946_1,NZ_CP073378_1,NZ_CP073772_1,NZ_CP073930_1,NZ_CP074702_1,NZ_CP075378_1,NZ_CP075738_1,NZ_CP080108_1,NZ_CP080352_1,NZ_CP081337_1,NZ_CP081340_1,NZ_CP082281_1,NZ_CP082955_1,NZ_CP083586_1,NZ_CP083831_1,NZ_CP083843_1,NZ_CP084057_1,NZ_CP085773_1,NZ_CP086389_1,NZ_CP086679_1,NZ_CP089098_1,NZ_CP089439_1,NZ_CP089960_1,NZ_CP091583_1,NZ_CP091602_1,NZ_CP091620_1,NZ_CP091814_1,NZ_CP092646_1,NZ_CP093284_1,NZ_CP093404_1,NZ_CP095166_1,NZ_CP095578_1,NZ_CP095649_1,NZ_CP095671_1,NZ_CP095674_1,NZ_CP096850_1,NZ_CP097229_1,NZ_CP098127_1,NZ_CP098228_1,NZ_CP098384_1,NZ_CP098779_1,NZ_CP098832_1,NZ_CP100690_1,NZ_CP100699_1,NZ_CP100737_1,NZ_CP100745_1,NZ_CP101264_1,NZ_CP103504_1,NZ_CP103752_1,NZ_CP104789_1,NZ_CP107041_1,NZ_CP109698_1,NZ_CP109730_1,NZ_CP110146_1,NZ_CP110525_1,NZ_CP110658_1,NZ_CP110879_1,NZ_CP113164_1,NZ_CP117719_1,NZ_CP117751_1,NZ_CP118568_1,NZ_CP122390_1,NZ_CP122645_1,NZ_CP126820_1,NZ_CP128614_1,NZ_CP128927_1,NZ_CP129185_1,NZ_CP129699_1,NZ_CP130157_1,NZ_CP132695_1,NZ_CP133184_1,NZ_CP133924_1,NZ_CP135271_1,NZ_CP136249_1,NZ_KR653209_1,NZ_KT347600_1,NZ_KU254578_1,NZ_KX029332_1,NZ_KX254341_1,NZ_KX434879_1,NZ_KX710093_1,NZ_KX810825_1,NZ_KY270851_1,NZ_KY401053_1,NZ_LC511997_1,NZ_LC532224_1,NZ_LC542971_1,NZ_LC542972_1,NZ_LC589174_1,NZ_MF072964_1,NZ_MF083142_1,NZ_MF344580_1,NZ_MF344582_1,NZ_MF344583_1,NZ_MF678350_1,NZ_MF788071_1,NZ_MG014720_1,NZ_MG014722_1,NZ_MG385063_1,NZ_MG591702_1,NZ_MG656414_1,NZ_MG904992_1,NZ_MG948335_1,NZ_MH105051_1,NZ_MH114596_1,NZ_MH179305_1,NZ_MH522413_1,NZ_MH522426_1,NZ_MH733010_1,NZ_MH829594_1,NZ_MH909331_1,NZ_MK169211_1,NZ_MK413719_1,NZ_MK413720_1,NZ_MK413722_1,NZ_MK574666_1,NZ_MK673547_1,NZ_MK933279_1,NZ_MN232190_1,NZ_MN476094_1,NZ_MN476096_1,NZ_MN577015_1,NZ_MN868652_1,NZ_MN868655_1,NZ_MN915010_1,NZ_MN937241_1,NZ_MT180430_1,NZ_MT318677_1,NZ_MT499884_1,NZ_MT604108_1,NZ_MT929285_1,NZ_MW013142_1,NZ_MW013143_1,NZ_MW013145_1,NZ_MW025958_1,NZ_MW025959_1,NZ_MW025963_1,NZ_MW148604_1,NZ_MW244439_1,NZ_MW245019_1,NZ_MW495059_1,NZ_MW509820_1,NZ_MW651977_1,NZ_MW719568_1,NZ_MZ419555_1,NZ_MZ690481_1,NZ_MZ690485_1,NZ_MZ750395_1,NZ_OL518976_1,NZ_OL598602_1,NZ_OM317740_1,NZ_OM317741_1,NZ_ON261191_1,NZ_ON777850_1,NZ_ON960338_1,NZ_ON960341_1,NZ_ON960343_1,NZ_ON960352_1,NZ_OP290545_1,NZ_OP378604_1,NZ_OP378639_1,NZ_OP950837_1,NZ_OQ078086_1,NZ_OQ111277_1,NZ_OQ215737_1,NZ_OQ423469_1,OU015338_1,OW849031_1,OW849078_1,OW969785_1,OW970410_1,OY754365_1,OY754384_1,OY754390_1,OY754444_1,CP019195_1,CP026208_1,CP055316_1,CP056484_1,CP056587_1,CP056828_1,CP069802_1,CP073077_1,CP074590_1,CP098972_1,CP099025_1,CP099028_1,CP099033_1,CP099193_1,CP110764_1,CP114565_1,CP124767_1,CP128710_1,CP136602_1,NC_021845_1,NZ_CP008906_1,NZ_CP010380_1,NZ_CP013713_1,NZ_CP015501_1,NZ_CP018720_1,NZ_CP023723_1,NZ_CP024236_1,NZ_CP026172_1,NZ_CP050068_1,NZ_CP071323_1,NZ_CP084706_1,NZ_CP084771_1,NZ_CP085891_1,NZ_CP089011_1,NZ_CP090463_1,NZ_CP091327_1,NZ_CP091979_1,NZ_CP123599_1,NZ_CP129732_1,NZ_CP133743_1,NZ_CP134808_1,NZ_MT062913_1,OW967389_1,OW969876_1
AAC(3)-Ia,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-Ib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-IId,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-IIe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-IIg,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-IVa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(3)-VIa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(6)-Ib10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(6)-Ib7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC(6)-Ib9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
