SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT
AP025654_1,57533,58334,+,AAC(6')-Ib7,1-786/786,========/======,1/16,100,98,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
AP025654_1,61798,62658,+,SHV-12,1-861/861,===============,0/0,100,100,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP025654_1,67706,68890,+,tet(D),1-1185/1185,===============,0/0,100,100,card,AF467077.1:163-1348,TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.
AP025654_1,110083,111702,+,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
AP025654_1,120532,121368,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
AP025654_1,121368,122171,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
AP025654_1,123945,124514,-,dfrA19,1-570/570,===============,0/0,100,99.83,card,AJ310778.1:7003-7573,dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae.
AP025654_1,134459,135319,+,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
AP026383_1,187019,188224,-,tet(B),1-1206/1206,===============,0/0,100,99.83,card,AB089595.1:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.
AP026903_1,7620,8261,+,catII_from_Escherichia_coli_K-12,1-642/642,===============,0/0,100,96.11,card,X53796.1:186-828,catII is a chloramphenicol acetyltransferase. This particular catII is found in E.coli K-12. Confers resistance to chloramphenicol.
AP026903_1,103172,104791,+,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
AP026903_1,113608,114444,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
AP026903_1,114444,115247,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
AP026903_1,117021,117590,-,dfrA19,1-570/570,===============,0/0,100,99.83,card,AJ310778.1:7003-7573,dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae.
AP026903_1,127656,128516,+,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
AP026903_1,258022,258882,-,SHV-12,1-861/861,========/======,2/2,99.88,99.77,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP026903_1,263294,264154,-,SHV-12,1-861/861,===============,0/0,100,99.88,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP026903_1,268564,269425,-,SHV-12,1-861/861,========/======,1/1,100,99.88,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP026903_1,273838,274699,-,SHV-12,1-861/861,========/======,1/1,100,99.65,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP026903_1,279111,279972,-,SHV-12,1-861/861,========/======,1/1,100,99.77,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP026903_1,284384,285243,-,SHV-12,1-861/861,========/======,1/1,99.88,99.88,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP026903_1,289666,290526,-,SHV-12,1-861/861,===============,0/0,100,100,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
AP028816_1,99924,100737,-,APH(3')-Ia,1-814/816,===============,0/0,99.75,99.39,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
AP028816_1,103672,104511,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
AP028816_1,104505,104852,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
AP028816_1,105016,105795,-,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
AP028816_1,106215,106712,-,dfrA12,1-498/498,===============,0/0,100,100,card,GU585907.1:22103-21605,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.
AP028816_1,110472,111718,+,tet(A),1-1247/1275,===============,0/0,97.8,100,card,AF534183.1:2970-4245,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.
AP028816_1,137458,139101,+,MCR-5.1,1-1644/1644,===============,0/0,100,100,card,KY807920.1:11539-9895,MCR-5 is a transposon-associated phosphoethanolamine transferase gene identified in Salmonella Paratyphi B dTa+ (d-tartrate fermenting Salmonella enterica subsp. enterica serovar Paratyphi B) isolates from food-producing animals. The isolates were collected between 2011 and 2013 and retrieved from the German National Reference Laboratory for Salmonella. MCR-5 confers resistance to collistin through the addition of a phosphoethanolamine group to lipid A causing a reduction in negative charge of the cell membrane. Described by Borowiak et al 2017.
AP028853_1,89021,89857,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
AP028853_1,89857,90660,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
